date,match,score,actual,is_ko,tier,elo_H,elo_D,elo_A,elo_pred,form_H,form_D,form_A,form_pred,xgp_H,xgp_D,xgp_A,xgp_pred,px_H,px_D,px_A,px_pred,v2_H,v2_D,v2_A,v2_pred,v2_correct,v3_H,v3_D,v3_A,v3_pred,v3_correct,v3_confidence,e3_H,e3_D,e3_A,e3_pred
2022-11-28,Brazil vs Switzerland,1-0,H,False,golden_zone,0.739,0.25,0.011,H,0.489,0.167,0.344,H,0.948,0.041,0.011,H,0.659,0.211,0.13,H,0.725,0.152,0.122,H,✓,0.709,0.167,0.124,H,✓,0.709,0.752,0.165,0.083,H
2022-11-29,Ecuador vs Senegal,1-2,A,False,split,0.142,0.547,0.311,D,0.387,0.188,0.425,A,0.499,0.304,0.197,H,0.308,0.383,0.308,D,0.343,0.346,0.311,D,✗,0.334,0.355,0.31,D,✗,0.355,0.381,0.358,0.262,H
2022-11-29,Qatar vs Netherlands,0-2,A,False,golden_zone,0.026,0.345,0.629,A,0.387,0.161,0.452,A,0.242,0.262,0.496,A,0.184,0.273,0.543,A,0.218,0.256,0.526,A,✓,0.21,0.26,0.53,A,✓,0.53,0.189,0.267,0.544,A
2022-11-29,Wales vs England,0-3,A,False,golden_zone,0.048,0.424,0.528,A,0.36,0.2,0.44,A,0.262,0.256,0.482,A,0.197,0.267,0.537,A,0.223,0.293,0.483,A,✓,0.217,0.287,0.496,A,✓,0.496,0.159,0.31,0.531,A
2022-11-29,Iran vs United States,0-1,A,False,split,0.211,0.565,0.225,D,0.43,0.174,0.395,H,0.265,0.362,0.373,A,0.508,0.29,0.201,H,0.302,0.367,0.331,D,✗,0.354,0.348,0.299,H,✗,0.354,0.269,0.394,0.337,D
2022-11-30,Poland vs Argentina,0-2,A,False,golden_zone,0.018,0.305,0.677,A,0.352,0.165,0.484,A,0.054,0.159,0.787,A,0.402,0.267,0.331,H,0.141,0.21,0.649,A,✓,0.207,0.224,0.569,A,✓,0.569,0.093,0.192,0.715,A
2022-11-30,Saudi Arabia vs Mexico,1-2,A,False,two_agree,0.115,0.528,0.357,D,0.382,0.197,0.421,A,0.279,0.415,0.306,D,0.487,0.301,0.212,H,0.259,0.38,0.361,D,✗,0.316,0.36,0.324,D,✗,0.36,0.212,0.414,0.374,D
2022-11-30,Australia vs Denmark,1-0,H,False,two_agree,0.142,0.547,0.311,D,0.414,0.172,0.414,H,0.55,0.255,0.195,H,0.308,0.383,0.308,D,0.369,0.325,0.306,H,✓,0.354,0.339,0.307,H,✓,0.354,0.303,0.377,0.32,D
2022-11-30,Tunisia vs France,1-0,H,False,two_agree,0.108,0.522,0.37,D,0.432,0.17,0.398,H,0.339,0.351,0.31,D,0.179,0.219,0.602,A,0.293,0.348,0.359,A,✗,0.264,0.316,0.42,A,✗,0.42,0.279,0.366,0.354,D
2022-12-01,Japan vs Spain,2-1,H,False,split,0.096,0.509,0.395,D,0.385,0.165,0.451,A,0.639,0.194,0.167,H,0.166,0.253,0.58,A,0.373,0.289,0.338,H,✓,0.321,0.28,0.398,A,✗,0.398,0.295,0.354,0.351,D
