match_id,market_type,outcome,team_code,ticker,last_price,volume,kickoff
WC26-ENG-GHA-2026-06-23,match_1x2,draw,TIE,KXWCGAME-26JUN23ENGGHA-TIE,0.2800,0,2026-06-23
WC26-ENG-GHA-2026-06-23,match_1x2,away,GHA,KXWCGAME-26JUN23ENGGHA-GHA,0.2900,0,2026-06-23
WC26-ENG-GHA-2026-06-23,match_1x2,home,ENG,KXWCGAME-26JUN23ENGGHA-ENG,0.6600,0,2026-06-23
WC26-POR-UZB-2026-06-23,match_1x2,away,UZB,KXWCGAME-26JUN23PORUZB-UZB,0.3700,0,2026-06-23
WC26-POR-UZB-2026-06-23,match_1x2,draw,TIE,KXWCGAME-26JUN23PORUZB-TIE,0.0000,0,2026-06-23
WC26-POR-UZB-2026-06-23,match_1x2,home,POR,KXWCGAME-26JUN23PORUZB-POR,0.7900,0,2026-06-23
WC26-JOR-DZA-2026-06-22,match_1x2,draw,TIE,KXWCGAME-26JUN22JORDZA-TIE,0.0000,0,2026-06-22
WC26-JOR-DZA-2026-06-22,match_1x2,home,JOR,KXWCGAME-26JUN22JORDZA-JOR,0.4800,0,2026-06-22
WC26-JOR-DZA-2026-06-22,match_1x2,away,DZA,KXWCGAME-26JUN22JORDZA-DZA,0.2500,0,2026-06-22
WC26-ARG-AUT-2026-06-22,match_1x2,draw,TIE,KXWCGAME-26JUN22ARGAUT-TIE,0.5800,0,2026-06-22
WC26-ARG-AUT-2026-06-22,match_1x2,away,AUT,KXWCGAME-26JUN22ARGAUT-AUT,0.2600,0,2026-06-22
WC26-ARG-AUT-2026-06-22,match_1x2,home,ARG,KXWCGAME-26JUN22ARGAUT-ARG,0.5900,0,2026-06-22
WC26-NOR-SEN-2026-06-22,match_1x2,draw,TIE,KXWCGAME-26JUN22NORSEN-TIE,0.6100,0,2026-06-22
WC26-NOR-SEN-2026-06-22,match_1x2,away,SEN,KXWCGAME-26JUN22NORSEN-SEN,0.3700,0,2026-06-22
WC26-NOR-SEN-2026-06-22,match_1x2,home,NOR,KXWCGAME-26JUN22NORSEN-NOR,0.5000,0,2026-06-22
WC26-NZL-EGY-2026-06-21,match_1x2,draw,TIE,KXWCGAME-26JUN21NZLEGY-TIE,0.4000,0,2026-06-21
WC26-NZL-EGY-2026-06-21,match_1x2,home,NZL,KXWCGAME-26JUN21NZLEGY-NZL,0.2800,0,2026-06-21
WC26-NZL-EGY-2026-06-21,match_1x2,away,EGY,KXWCGAME-26JUN21NZLEGY-EGY,0.4400,0,2026-06-21
WC26-URU-CPV-2026-06-21,match_1x2,home,URU,KXWCGAME-26JUN21URUCPV-URU,0.7000,0,2026-06-21
WC26-URU-CPV-2026-06-21,match_1x2,draw,TIE,KXWCGAME-26JUN21URUCPV-TIE,0.4900,0,2026-06-21
WC26-URU-CPV-2026-06-21,match_1x2,away,CPV,KXWCGAME-26JUN21URUCPV-CPV,0.4600,0,2026-06-21
