date,match_id,home,away,outcome,p_model,p_market,edge_pp,edge_rel,fair_odds,market_odds
2026-06-17,WC26-UZB-COL-2026-06-17,Uzbekistan,Colombia,draw,0.236,0.2088,2.72,0.13,+324,+379
2026-06-17,WC26-UZB-COL-2026-06-17,Uzbekistan,Colombia,away,0.6102,0.6781,-6.79,-0.1,-157,-211
2026-06-17,WC26-ENG-CRO-2026-06-17,England,Croatia,home,0.5094,0.5548,-4.54,-0.082,-104,-125
2026-06-17,WC26-ENG-CRO-2026-06-17,England,Croatia,draw,0.269,0.247,2.2,0.089,+272,+305
2026-06-17,WC26-ENG-CRO-2026-06-17,England,Croatia,away,0.2216,0.1981,2.35,0.119,+351,+405
2026-06-17,WC26-GHA-PAN-2026-06-17,Ghana,Panama,home,0.1825,0.4579,-27.54,-0.601,+448,+118
2026-06-17,WC26-GHA-PAN-2026-06-17,Ghana,Panama,draw,0.2523,0.2787,-2.64,-0.095,+296,+259
2026-06-17,WC26-GHA-PAN-2026-06-17,Ghana,Panama,away,0.5652,0.2634,30.18,1.146,-130,+280
2026-06-18,WC26-CZE-RSA-2026-06-18,Czech Republic,South Africa,home,0.5238,0.4904,3.34,0.068,-110,+104
2026-06-18,WC26-CZE-RSA-2026-06-18,Czech Republic,South Africa,draw,0.2651,0.2816,-1.65,-0.059,+277,+255
2026-06-18,WC26-CZE-RSA-2026-06-18,Czech Republic,South Africa,away,0.2111,0.228,-1.69,-0.074,+374,+339
2026-06-18,WC26-MEX-KOR-2026-06-18,Mexico,South Korea,home,0.5661,0.533,3.31,0.062,-130,-114
2026-06-18,WC26-MEX-KOR-2026-06-18,Mexico,South Korea,draw,0.252,0.2629,-1.09,-0.041,+297,+280
2026-06-18,WC26-MEX-KOR-2026-06-18,Mexico,South Korea,away,0.1819,0.2041,-2.22,-0.109,+450,+390
2026-06-18,WC26-SUI-BIH-2026-06-18,Switzerland,Bosnia and Herzegovina,home,0.6684,0.5911,7.73,0.131,-202,-145
2026-06-18,WC26-SUI-BIH-2026-06-18,Switzerland,Bosnia and Herzegovina,draw,0.2113,0.2343,-2.3,-0.098,+373,+327
2026-06-18,WC26-SUI-BIH-2026-06-18,Switzerland,Bosnia and Herzegovina,away,0.1203,0.1746,-5.43,-0.311,+731,+473
2026-06-18,WC26-CAN-QAT-2026-06-18,Canada,Qatar,home,0.8148,0.7303,8.45,0.116,-440,-271
2026-06-18,WC26-CAN-QAT-2026-06-18,Canada,Qatar,draw,0.1331,0.1826,-4.95,-0.271,+651,+448
2026-06-18,WC26-CAN-QAT-2026-06-18,Canada,Qatar,away,0.0521,0.0871,-3.5,-0.402,+1819,+1048
2026-06-19,WC26-TUR-PAR-2026-06-19,Turkey,Paraguay,home,0.3827,0.4246,-4.19,-0.099,+161,+136
2026-06-19,WC26-TUR-PAR-2026-06-19,Turkey,Paraguay,draw,0.2896,0.2985,-0.89,-0.03,+245,+235
2026-06-19,WC26-TUR-PAR-2026-06-19,Turkey,Paraguay,away,0.3277,0.2769,5.08,0.183,+205,+261
2026-06-19,WC26-SCO-MAR-2026-06-19,Scotland,Morocco,home,0.2459,0.2287,1.72,0.075,+307,+337
2026-06-19,WC26-SCO-MAR-2026-06-19,Scotland,Morocco,draw,0.2765,0.2911,-1.46,-0.05,+262,+244
2026-06-19,WC26-SCO-MAR-2026-06-19,Scotland,Morocco,away,0.4775,0.4802,-0.27,-0.006,+109,+108
2026-06-19,WC26-BRA-HAI-2026-06-19,Brazil,Haiti,home,0.7258,0.8889,-16.31,-0.183,-265,-800
2026-06-19,WC26-BRA-HAI-2026-06-19,Brazil,Haiti,draw,0.1833,0.0741,10.92,1.474,+446,+1250
2026-06-19,WC26-BRA-HAI-2026-06-19,Brazil,Haiti,away,0.0909,0.037,5.39,1.457,+1000,+2603
2026-06-19,WC26-USA-AUS-2026-06-19,United States,Australia,home,0.3711,0.5432,-17.21,-0.317,+169,-119
2026-06-19,WC26-USA-AUS-2026-06-19,United States,Australia,draw,0.2901,0.2433,4.68,0.192,+245,+311
2026-06-19,WC26-USA-AUS-2026-06-19,United States,Australia,away,0.3388,0.2136,12.52,0.586,+195,+368
2026-06-20,WC26-NED-SWE-2026-06-20,Netherlands,Sweden,home,0.6187,0.5865,3.22,0.055,-162,-142
2026-06-20,WC26-NED-SWE-2026-06-20,Netherlands,Sweden,draw,0.2326,0.2297,0.29,0.013,+330,+335
2026-06-20,WC26-NED-SWE-2026-06-20,Netherlands,Sweden,away,0.1487,0.1838,-3.51,-0.191,+572,+444
2026-06-20,WC26-TUN-JPN-2026-06-20,Tunisia,Japan,home,0.1325,0.1824,-4.99,-0.274,+655,+448
2026-06-20,WC26-TUN-JPN-2026-06-20,Tunisia,Japan,draw,0.2211,0.2589,-3.78,-0.146,+352,+286
2026-06-20,WC26-TUN-JPN-2026-06-20,Tunisia,Japan,away,0.6465,0.5587,8.78,0.157,-183,-127
2026-06-20,WC26-GER-CIV-2026-06-20,Germany,Ivory Coast,home,0.5858,0.6157,-2.99,-0.049,-141,-160
2026-06-20,WC26-GER-CIV-2026-06-20,Germany,Ivory Coast,draw,0.2451,0.2177,2.74,0.126,+308,+359
2026-06-20,WC26-GER-CIV-2026-06-20,Germany,Ivory Coast,away,0.169,0.1666,0.24,0.014,+492,+500
2026-06-20,WC26-ECU-CUW-2026-06-20,Ecuador,Curaçao,home,0.7791,0.7899,-1.08,-0.014,-353,-376
2026-06-20,WC26-ECU-CUW-2026-06-20,Ecuador,Curaçao,draw,0.1542,0.1366,1.76,0.129,+549,+632
2026-06-20,WC26-ECU-CUW-2026-06-20,Ecuador,Curaçao,away,0.0667,0.0735,-0.68,-0.093,+1399,+1261
2026-06-21,WC26-BEL-IRN-2026-06-21,Belgium,Iran,home,0.4321,0.6806,-24.85,-0.365,+131,-213
2026-06-21,WC26-BEL-IRN-2026-06-21,Belgium,Iran,draw,0.2847,0.1997,8.5,0.426,+251,+401
2026-06-21,WC26-BEL-IRN-2026-06-21,Belgium,Iran,away,0.2832,0.1198,16.34,1.364,+253,+735
2026-06-21,WC26-NZL-EGY-2026-06-21,New Zealand,Egypt,home,0.2992,0.205,9.42,0.46,+234,+388
2026-06-21,WC26-NZL-EGY-2026-06-21,New Zealand,Egypt,draw,0.287,0.2503,3.67,0.147,+248,+300
2026-06-21,WC26-NZL-EGY-2026-06-21,New Zealand,Egypt,away,0.4138,0.5447,-13.09,-0.24,+142,-120
2026-06-21,WC26-ESP-KSA-2026-06-21,Spain,Saudi Arabia,home,0.8892,0.8676,2.16,0.025,-803,-655
2026-06-21,WC26-ESP-KSA-2026-06-21,Spain,Saudi Arabia,draw,0.0848,0.0909,-0.61,-0.067,+1079,+1000
2026-06-21,WC26-ESP-KSA-2026-06-21,Spain,Saudi Arabia,away,0.026,0.0415,-1.55,-0.373,+3746,+2310
2026-06-21,WC26-URU-CPV-2026-06-21,Uruguay,Cape Verde,home,0.6945,0.6764,1.81,0.027,-227,-209
2026-06-21,WC26-URU-CPV-2026-06-21,Uruguay,Cape Verde,draw,0.199,0.2039,-0.49,-0.024,+403,+390
2026-06-21,WC26-URU-CPV-2026-06-21,Uruguay,Cape Verde,away,0.1065,0.1198,-1.33,-0.111,+839,+735
2026-06-22,WC26-FRA-IRQ-2026-06-22,France,Iraq,home,0.7514,0.856,-10.46,-0.122,-302,-594
2026-06-22,WC26-FRA-IRQ-2026-06-22,France,Iraq,draw,0.1697,0.107,6.27,0.586,+489,+835
2026-06-22,WC26-FRA-IRQ-2026-06-22,France,Iraq,away,0.0789,0.037,4.19,1.132,+1167,+2603
2026-06-22,WC26-NOR-SEN-2026-06-22,Norway,Senegal,home,0.4769,0.4485,2.84,0.063,+110,+123
