match_id,market_type,outcome,p_elo,p_poisson,p_form,p_ensemble_e3,p_ensemble_v2,p_kalshi,v_kalshi,p_polymarket,v_polymarket,golden_zone,edge,opportunity
WC26-BRA-HTI-2026-06-19,match_1x2,home,,,,,,0.95,0,,0,0,,
WC26-BRA-MAR-2026-06-13,match_1x2,away,0.234,,,,,0.13,0,,0,0,,
WC26-BRA-MAR-2026-06-13,match_1x2,draw,0.169,,,,,0.23,0,,0,0,,
WC26-BRA-MAR-2026-06-13,match_1x2,home,0.598,,,,,0.62,0,,0,0,,
WC26-CAN-BIH-2026-06-12,match_1x2,away,0.159,,,,,,0,,0,0,,
WC26-CAN-BIH-2026-06-12,match_1x2,draw,0.15,,,,,,0,,0,0,,
WC26-CAN-BIH-2026-06-12,match_1x2,home,0.691,,,,,,0,,0,0,,
WC26-CAN-QAT-2026-06-18,match_1x2,away,0.068,,,,,0.32,0,,0,0,,
WC26-CAN-QAT-2026-06-18,match_1x2,draw,0.15,,,,,0.36,0,,0,0,,
WC26-CAN-QAT-2026-06-18,match_1x2,home,0.782,,,,,0.69,0,,0,0,,
WC26-CAN-SUI-2026-06-24,match_1x2,away,0.409,,,,,,0,,0,0,,
WC26-CAN-SUI-2026-06-24,match_1x2,draw,0.266,,,,,,0,,0,0,,
WC26-CAN-SUI-2026-06-24,match_1x2,home,0.325,,,,,,0,,0,0,,
WC26-CIV-ECU-2026-06-14,match_1x2,away,0.692,,,,,0.45,0,,0,0,,
WC26-CIV-ECU-2026-06-14,match_1x2,draw,0.15,,,,,0.34,0,,0,0,,
WC26-CIV-ECU-2026-06-14,match_1x2,home,0.158,,,,,0.27,0,,0,0,,
WC26-COD-UZB-2026-06-27,match_1x2,away,0.458,,,,,,0,,0,0,,
WC26-COD-UZB-2026-06-27,match_1x2,draw,0.239,,,,,,0,,0,0,,
WC26-COD-UZB-2026-06-27,match_1x2,home,0.303,,,,,,0,,0,0,,
WC26-COL-COD-2026-06-23,match_1x2,away,0.116,,,,,,0,,0,0,,
WC26-COL-COD-2026-06-23,match_1x2,draw,0.15,,,,,,0,,0,0,,
WC26-COL-COD-2026-06-23,match_1x2,home,0.734,,,,,,0,,0,0,,
WC26-COL-POR-2026-06-27,match_1x2,away,0.363,,,,,0.52,0,,0,0,,
WC26-COL-POR-2026-06-27,match_1x2,draw,0.292,,,,,0.16,0,,0,0,,
WC26-COL-POR-2026-06-27,match_1x2,home,0.345,,,,,0.42,0,,0,0,,
WC26-CPV-KSA-2026-06-26,match_1x2,away,0.378,,,,,,0,,0,0,,
WC26-CPV-KSA-2026-06-26,match_1x2,draw,0.284,,,,,,0,,0,0,,
WC26-CPV-KSA-2026-06-26,match_1x2,home,0.339,,,,,0.78,0,,0,0,,
WC26-CRO-GHA-2026-06-27,match_1x2,away,0.068,,,,,,0,,0,0,,
WC26-CRO-GHA-2026-06-27,match_1x2,draw,0.15,,,,,0.09,0,,0,0,,
WC26-CRO-GHA-2026-06-27,match_1x2,home,0.782,,,,,0.25,0,,0,0,,
WC26-CUW-CIV-2026-06-25,match_1x2,away,0.679,,,,,0.15,0,,0,0,,
WC26-CUW-CIV-2026-06-25,match_1x2,draw,0.15,,,,,0.1,0,,0,0,,
WC26-CUW-CIV-2026-06-25,match_1x2,home,0.171,,,,,,0,,0,0,,
WC26-CZE-RSA-2026-06-18,match_1x2,away,0.202,,,,,,0,,0,0,,
WC26-CZE-RSA-2026-06-18,match_1x2,draw,0.15,,,,,,0,,0,0,,
WC26-CZE-RSA-2026-06-18,match_1x2,home,0.648,,,,,,0,,0,0,,
WC26-DZA-AUT-2026-06-27,match_1x2,away,,,,,,0.25,0,,0,0,,
WC26-DZA-AUT-2026-06-27,match_1x2,draw,,,,,,0.05,0,,0,0,,
WC26-DZA-AUT-2026-06-27,match_1x2,home,,,,,,0.55,0,,0,0,,
WC26-ECU-CUW-2026-06-20,match_1x2,away,0.046,,,,,0.03,0,,0,0,,
WC26-ECU-CUW-2026-06-20,match_1x2,draw,0.15,,,,,0.05,0,,0,0,,
WC26-ECU-CUW-2026-06-20,match_1x2,home,0.804,,,,,0.65,0,,0,0,,
WC26-ECU-GER-2026-06-25,match_1x2,away,0.344,,,,,0.64,0,,0,0,,
